作	zuo
佝	gou
佞	ning
佟	tong
你	ni
佢	qu
佣	yong
佤	wa
佥	qian
佧	ka
佩	pei
佫	he
佬	lao
佯	yang
佰	bai
佳	jia
佴	er
併	bing
佶	ji
佹	gui
佺	quan
佻	tiao
佼	jiao
佽	ci
佾	yi
使	shi
侁	shen
侂	tuo
侃	kan
侄	zhi
來	lai
侈	chi
侉	kua
例	li
侍	shi
侏	zhu
侑	you
侔	mou
侖	lun
侗	dong
侘	cha
供	gong
侜	zhou
依	yi
侠	xia
侣	lü
侥	jiao
侦	zhen
侧	ce
侨	qiao
侩	kuai
侪	chai
侬	nong
侮	wu
侯	hou
侴	chou
侵	qin
侷	ju
侹	ting
侻	tui
便	bian
係	xi
促	cu
俄	e
俅	qiu
俊	jun
俍	liang
俎	zu
俏	qiao
俐	li
俑	yong
俗	su
俘	fu
俚	li
俛	fu
俜	ping
保	bao
俞	shu
俟	qi
俠	xia
信	xin
俣	yu
俤	di
俦	chou
俨	yan
俩	lia
俪	li
俭	jian
修	xiu
俯	fu
俱	ju
俳	pai
俵	biao
俶	chu
俸	feng
俺	an
俻	bei
俾	bi
倀	chang
倅	cui
倆	lia
倈	lai
倉	cang
個	ge
倌	guan
倍	bei
倏	shu
倐	shu
倒	dao
倓	tan
倔	jue
倖	xing
倘	chang
候	hou
倚	yi
倜	ti
倞	jing
借	jie
倡	chang
倢	jie
倣	fang
倥	kong
倦	juan
倨	ju
倩	qian
倪	ni
倫	lun
倬	zhuo
倭	wo
倮	luo
倳	zi
倴	ben
倷	nai
倸	cai
债	zhai
倻	ye
值	zhi
倾	qing
偁	cheng
偃	yan
假	jia
偈	ji
偉	wei
偊	yu
偌	ruo
偎	wei
偏	pian
偓	wo
偕	xie
做	zuo
停	ting
偢	chou
健	jian
偪	bi
偬	zong
偰	xie
偲	cai
偶	ou
偷	tou
偺	za
偻	lou
偽	wei
偾	fen
偿	chang
傀	gui
傅	fu
傈	li
傉	nu
傍	bang
傎	dian
傑	jie
傒	xi
傕	jue
傖	cang
傘	san
備	bei
傚	xiao
傜	yao
傢	jia
傣	dai
傤	zai
傥	tang
傧	bin
储	chu
傩	nuo
催	cui
傭	yong
傯	zong
傲	ao
傳	chuan
傴	yu
傷	shang
傺	chi
傻	sha
僂	lou
僄	piao
僅	jin
僇	lu
僉	qian
僊	xian
働	dong
像	xiang
僑	qiao
僕	pu
僖	xi
僚	liao
僝	chan
僞	wei
僡	hui
僢	chuan
僥	jiao
僦	jiu
僧	seng
僬	jiao
僭	jian
僮	tong
僰	bo
僱	gu
僳	su
僵	jiang
僶	min
價	jia
僻	pi
僽	zhou
儀	yi
儁	jun
儂	nong
億	yi
儅	dang
儆	jing
儇	xuan
儈	kuai
儉	jian
儋	dan
儍	sha
儐	bin
儒	ru
儓	tai
儔	chou
儕	chai
儗	ni
儘	jin
償	chang
儡	lei
優	you
儭	chen
儱	long
儴	rang
儵	shu
儷	li
儸	luo
儹	zan
儺	nuo
儻	tang
儼	yan
儽	lei
儿	er
兀	wu
允	yun
元	yuan
兄	xiong
充	chong
兆	zhao
兇	xiong
先	xian
光	guang
克	ke
免	mian
兎	tu
兑	dui
兒	er
兔	tu
兕	si
兖	yan
党	dang
兜	dou
兢	jing
入	ru
全	quan
兩	liang
八	ba
公	gong
六	liu
兮	xi
兰	lan
共	gong
关	guan
兴	xing
兵	bing
其	ji
具	ju
典	dian
兹	ci
养	yang
兼	jian
兽	shou
冀	ji
冁	chan
冄	ran
内	nei
冇	mao
冈	gang
冉	ran
冊	ce
册	ce
再	zai
冏	jiong
冒	mao
冓	gou
冕	mian
冗	rong
写	xie
军	jun
农	nong
冠	guan
冢	zhong
冤	yuan
冥	ming
冪	mi
冬	dong
冮	gang
冯	feng
冰	bing
冱	hu
冲	chong
决	jue
况	kuang
冶	ye
冷	leng
冻	dong
冼	xian
冽	lie
净	jing
凃	tu
凄	qi
准	zhun
凇	song
凉	liang
凊	qing
凋	diao
凌	ling
凍	dong
减	jian
凑	cou
凓	li
凔	chuang
凘	si
凙	duo
凛	lin
凜	lin
凝	ning
凟	du
几	ji
凡	fan
凢	fan
凤	feng
処	chu
凫	fu
凭	ping
凯	kai
凰	huang
凱	kai
凳	deng
凴	ping
凶	xiong
凷	kuai
凸	tu
凹	ao
出	chu
击	ji
凼	dang
函	han
凿	zao
刀	dao
刁	diao
刃	ren
刄	ren
分	fen
切	qie
刈	yi
刊	kan
刌	cun
刍	chu
刎	wen
刑	xing
划	hua
刓	wan
刖	yue
列	lie
刘	liu
则	ze
刚	gang
创	chuang
刜	fu
初	chu
删	shan
判	pan
刦	jie
刧	jie
刨	bao
利	li
刪	shan
别	bie
刬	chan
刭	jing
刮	gua
到	dao
刲	kui
刳	ku
刴	duo
刵	er
制	zhi
刷	shua
券	quan
刹	cha
刺	ci
刻	ke
刼	jie
刽	gui
刿	gui
剀	kai
剁	duo
剂	ji
剃	ti
剄	jing
剅	lou
剉	cuo
削	xiao
剋	ke
剌	la
前	qian
剏	chuang
剐	gua
